Date,Time,Message Type,Instrument code,Exchange Code,Security Type,Unknown,Bit flag to updated,Source of realtime message,Open price,High price,Low price,Last price,Cumulative volume
15/04/2022,23:00:05:431,C,IXN22EKB15500,126,2,1.41e+18,23,FH,,,,,0
15/04/2022,23:00:05:431,C,IXN22EKB16000,126,2,1.41e+18,23,FH,,,,,0
15/04/2022,23:00:05:431,C,IXN22EKB16500,126,2,1.41e+18,23,FH,,,,,0
15/04/2022,23:00:05:431,C,IXN22EKB17000,126,2,1.41e+18,23,FH,,,,,0
15/04/2022,23:00:05:431,C,IXN22EKB17500,126,2,1.41e+18,23,FH,,,,,0
15/04/2022,23:00:05:431,C,IXN22EKB18000,126,2,1.41e+18,23,FH,,,,,0
15/04/2022,23:00:05:431,C,IXN22EKB18500,126,2,1.41e+18,23,FH,,,,,0
15/04/2022,23:00:05:431,C,IXN22EKB19000,126,2,1.41e+18,23,FH,,,,,0
15/04/2022,23:00:05:431,C,IXN22EKB19500,126,2,1.41e+18,23,FH,,,,,0
15/04/2022,23:00:05:431,C,IXN22EKB20000,126,2,1.41e+18,23,FH,130.0,130.0,125.0,125.0,3
15/04/2022,23:00:05:431,C,IXN22EKB20500,126,2,1.41e+18,23,FH,,,,,0
15/04/2022,23:00:05:431,C,IXN22EKB21000,126,2,1.41e+18,23,FH,,,,,0
15/04/2022,23:00:05:431,C,IXN22EKB21500,126,2,1.41e+18,23,FH,,,,,0
15/04/2022,23:00:05:431,C,IXN22EKB22000,126,2,1.41e+18,23,FH,,,,,0
15/04/2022,23:00:05:431,C,IXN22EKB22500,126,2,1.41e+18,23,FH,,,,,0
15/04/2022,23:00:05:431,C,IXN22EKB23000,126,2,1.41e+18,23,FH,,,,,0
15/04/2022,23:00:05:431,C,IXN22EKB23500,126,2,1.41e+18,23,FH,,,,,0
15/04/2022,23:00:05:431,C,IXN22EKB24000,126,2,1.41e+18,23,FH,,,,,0
15/04/2022,23:00:05:431,C,IXN22EKB24500,126,2,1.41e+18,23,FH,94.59,94.59,94.59,94.59,2
15/04/2022,23:00:05:431,C,IXN22EKB25000,126,2,1.41e+18,23,FH,,,,,0
15/04/2022,23:00:05:431,C,IXN22EKB25500,126,2,1.41e+18,23,FH,,,,,0
15/04/2022,23:00:05:431,C,IXN22EKB26000,126,2,1.41e+18,23,FH,,,,,0
15/04/2022,23:00:05:431,C,IXN22EKB26500,126,2,1.41e+18,23,FH,,,,,0
15/04/2022,23:00:05:431,C,IXN22EKB27000,126,2,1.41e+18,23,FH,40.9,40.9,40.9,40.9,1
15/04/2022,23:00:05:431,C,IXN22EKB27500,126,2,1.41e+18,23,FH,,,,,0
15/04/2022,23:00:05:431,C,IXN22EKB28000,126,2,1.41e+18,23,FH,60.1,60.1,60.1,60.1,1
15/04/2022,23:00:05:431,C,IXN22EKB28500,126,2,1.41e+18,23,FH,72.2,72.2,72.2,72.2,1
15/04/2022,23:00:05:431,C,IXN22EKB29000,126,2,1.41e+18,23,FH,,,,,0
15/04/2022,23:00:05:431,C,IXN22EKB29500,126,2,1.41e+18,23,FH,39.3,39.5,39.3,39.5,50
15/04/2022,23:00:05:431,C,IXN22EKB30000,126,2,1.41e+18,23,FH,36.2,36.2,36.2,36.2,25
15/04/2022,23:00:05:431,C,IXN22EKB30500,126,2,1.41e+18,23,FH,16.9,16.9,16.9,16.9,2
15/04/2022,23:00:05:431,C,IXN22EKB31000,126,2,1.41e+18,23,FH,13.9,13.9,12.56,12.56,31
15/04/2022,23:00:05:431,C,IXN22EKB31500,126,2,1.41e+18,23,FH,10.9,10.9,10.9,10.9,17
15/04/2022,23:00:05:431,C,IXN22EKB32000,126,2,1.41e+18,23,FH,8.3,8.3,6.0,6.0,4
15/04/2022,23:00:05:431,C,IXN22EKB32500,126,2,1.41e+18,23,FH,6.4,6.4,5.4,5.5,21
15/04/2022,23:00:05:431,C,IXN22EKB33000,126,2,1.41e+18,23,FH,5.5,5.5,4.87,4.87,6
