Date,Time,Message Type,Instrument code,Exchange Code,Security Type,Unknown,Open interest,Bit flag to updated last/high/low/open/vol/composite,Source of realtime message
15/04/2022,10:30:00:617,R,IXN23MKB24000,126,2,1.40788e+18,46,23,FH
15/04/2022,10:30:00:636,R,IXN23AKB33000,126,2,1.40788e+18,42,23,FH
15/04/2022,10:30:00:636,R,IXN23AKB25000,126,2,1.40788e+18,21,23,FH
15/04/2022,10:30:00:682,R,IXN23MKB28500,126,2,1.40788e+18,11,23,FH
15/04/2022,10:30:00:740,R,IXN23MKB27500,126,2,1.40788e+18,18,23,FH
15/04/2022,10:30:00:818,R,IXN23AKB36500,126,2,1.40788e+18,48,23,FH
15/04/2022,10:30:01:010,R,IXN23AKB27500,126,2,1.40788e+18,4,23,FH
15/04/2022,10:30:01:023,R,IXN23AKB34000,126,2,1.40788e+18,27,23,FH
15/04/2022,10:30:01:072,R,IXN23AKB35000,126,2,1.40788e+18,113,23,FH
15/04/2022,10:30:01:726,R,IXN23AKB18000,126,2,1.40788e+18,1,23,FH
15/04/2022,10:30:01:726,R,IXN23AKB39000,126,2,1.40788e+18,127,23,FH
15/04/2022,10:30:01:789,R,IXN23MKB40000,126,2,1.40788e+18,79,23,FH
15/04/2022,10:30:01:806,R,IXN23MKB15500,126,2,1.40788e+18,7,23,FH
15/04/2022,10:30:01:806,R,IXN23MKB20500,126,2,1.40788e+18,87,23,FH
15/04/2022,10:30:01:868,R,IXN23AKB41500,126,2,1.40788e+18,3,23,FH
15/04/2022,10:30:01:868,R,IXN23AKB42500,126,2,1.40788e+18,9,23,FH
15/04/2022,10:30:01:931,R,IXN23MKB38500,126,2,1.40788e+18,11,23,FH
15/04/2022,10:30:01:994,R,IXN23MKB19000,126,2,1.40788e+18,1,23,FH
15/04/2022,10:30:02:042,R,IXN22FHB30500,126,2,1.40788e+18,19,23,FH
15/04/2022,10:30:02:107,R,IXN22IGB27000,126,2,1.40788e+18,6,23,FH
15/04/2022,10:30:02:107,R,IXN22UGB31500,126,2,1.40788e+18,72,23,FH
15/04/2022,10:30:02:124,R,IXN22FHB33000,126,2,1.40788e+18,549,23,FH
15/04/2022,10:30:02:124,R,IXN22UGB29000,126,2,1.40788e+18,39,23,FH
15/04/2022,10:30:02:124,R,IXN23MKB49500,126,2,1.40788e+18,1,23,FH
15/04/2022,10:30:02:168,R,IXN22UGB35500,126,2,1.40788e+18,4,23,FH
15/04/2022,10:30:02:168,R,IXN22IGB17000,126,2,1.40788e+18,1,23,FH
15/04/2022,10:30:02:183,R,IXN22FHB19500,126,2,1.40788e+18,4,23,FH
15/04/2022,10:30:02:183,R,IXN22FHB41500,126,2,1.40788e+18,566,23,FH
15/04/2022,10:30:02:200,R,IXN22RHB25000,126,2,1.40788e+18,352,23,FH
15/04/2022,10:30:02:200,R,IXN22RHB42000,126,2,1.40788e+18,17,23,FH
15/04/2022,10:30:02:245,R,IXN22RHB24000,126,2,1.40788e+18,6,23,FH
15/04/2022,10:30:02:245,R,IXN22UGB26500,126,2,1.40788e+18,23,23,FH
15/04/2022,10:30:02:245,R,IXN22RHB34500,126,2,1.40788e+18,231,23,FH
15/04/2022,10:30:02:260,R,IXN22FHB40000,126,2,1.40788e+18,137,23,FH
15/04/2022,10:30:02:262,R,IXN22RHB31500,126,2,1.40788e+18,456,23,FH
15/04/2022,10:30:02:276,R,IXN22RHB29000,126,2,1.40788e+18,74,23,FH
15/04/2022,10:30:02:309,R,IXN22UGB43000,126,2,1.40788e+18,12,23,FH
15/04/2022,10:30:02:309,R,IXN22UGB23000,126,2,1.40788e+18,25,23,FH
15/04/2022,10:30:02:323,R,IXN22RHB22500,126,2,1.40788e+18,1,23,FH
15/04/2022,10:30:02:323,R,IXN22FHB17500,126,2,1.40788e+18,1,23,FH
15/04/2022,10:30:02:341,R,IXN22RHB37000,126,2,1.40788e+18,13,23,FH
15/04/2022,10:30:02:341,R,IXN22FHB38000,126,2,1.40788e+18,501,23,FH
15/04/2022,10:30:02:372,R,IXN22IGB24500,126,2,1.40788e+18,2,23,FH
15/04/2022,10:30:02:385,R,IXN22RHB16500,126,2,1.40788e+18,2,23,FH
15/04/2022,10:30:02:385,R,IXN22IGB34000,126,2,1.40788e+18,11,23,FH
15/04/2022,10:30:02:400,R,IXN22IGB28500,126,2,1.40788e+18,3,23,FH
15/04/2022,10:30:02:400,R,IXN22RHB40500,126,2,1.40788e+18,1,23,FH
15/04/2022,10:30:02:448,R,IXN22IGB31000,126,2,1.40788e+18,5,23,FH
15/04/2022,10:30:02:448,R,IXN22IGB42000,126,2,1.40788e+18,46,23,FH
15/04/2022,10:30:02:511,R,IXN22FHB50000,126,2,1.40788e+18,15,23,FH
15/04/2022,10:30:02:589,R,IXN22FHB49000,126,2,1.40788e+18,5,23,FH
15/04/2022,10:30:02:634,R,IXN23AKB53000,126,2,1.40788e+18,3,23,FH
15/04/2022,10:30:03:401,R,IXN23AKB57500,126,2,1.40788e+18,8,23,FH
15/04/2022,10:30:03:900,R,IXN24MJB38000,126,2,1.40788e+18,2,23,FH
15/04/2022,10:30:03:963,R,IXN24AJB40000,126,2,1.40788e+18,40,23,FH
15/04/2022,10:30:03:994,R,IXN24AJB37500,126,2,1.40788e+18,4,23,FH
15/04/2022,10:30:04:145,R,IXN24AJB36500,126,2,1.40788e+18,7,23,FH
15/04/2022,10:30:04:145,R,IXN24AJB48000,126,2,1.40788e+18,6,23,FH
15/04/2022,10:30:04:195,R,IXN24AJB42000,126,2,1.40788e+18,3,23,FH
15/04/2022,10:30:04:209,R,IXN24AJB41000,126,2,1.40788e+18,2,23,FH
15/04/2022,10:30:04:954,R,IXN22QKB45000,126,2,1.40788e+18,1,23,FH
15/04/2022,10:30:05:070,R,IXN22QKB46500,126,2,1.40788e+18,4,23,FH
15/04/2022,10:30:05:131,R,IXN22EKB36000,126,2,1.40788e+18,187,23,FH
15/04/2022,10:30:05:131,R,IXN22EKB35000,126,2,1.40788e+18,129,23,FH
15/04/2022,10:30:05:193,R,IXN22QKB43000,126,2,1.40788e+18,3,23,FH
15/04/2022,10:30:05:193,R,IXN22EKB38500,126,2,1.40788e+18,44,23,FH
15/04/2022,10:30:05:259,R,IXN22EKB40000,126,2,1.40788e+18,302,23,FH
15/04/2022,10:30:05:385,R,IXN22EKB48000,126,2,1.40788e+18,9,23,FH
15/04/2022,10:30:05:711,R,IXN24MJB30000,126,2,1.40788e+18,4,23,FH
15/04/2022,10:30:05:773,R,IXN24MJB24500,126,2,1.40788e+18,4,23,FH
15/04/2022,10:30:05:773,R,IXN24AJB62500,126,2,1.40788e+18,2,23,FH
15/04/2022,10:30:05:836,R,IXN24MJB32000,126,2,1.40788e+18,2,23,FH
15/04/2022,10:30:05:912,R,IXN22EKB28500,126,2,1.40788e+18,22,23,FH
15/04/2022,10:30:05:930,R,IXN24AJB22500,126,2,1.40788e+18,3,23,FH
15/04/2022,10:30:05:959,R,IXN22QKB24500,126,2,1.40788e+18,15,23,FH
15/04/2022,10:30:05:974,R,IXN22EKB33000,126,2,1.40788e+18,419,23,FH
15/04/2022,10:30:05:992,R,IXN24AJB56000,126,2,1.40788e+18,4,23,FH
15/04/2022,10:30:06:269,R,IXN24MJB26500,126,2,1.40788e+18,1,23,FH
15/04/2022,10:30:06:318,R,IXN24AJB33000,126,2,1.40788e+18,27,23,FH
15/04/2022,10:30:06:334,R,IXN24MJB22500,126,2,1.40788e+18,1,23,FH
15/04/2022,10:30:06:394,R,IXN24AJB32000,126,2,1.40788e+18,1,23,FH
15/04/2022,10:30:06:396,R,IXN24AJB52500,126,2,1.40788e+18,2,23,FH
15/04/2022,10:30:06:458,R,IXN24AJB50500,126,2,1.40788e+18,9,23,FH
15/04/2022,10:30:06:521,R,IXN22QKB27500,126,2,1.40788e+18,536,23,FH
15/04/2022,10:30:06:583,R,IXN22QKB31500,126,2,1.40788e+18,160,23,FH
15/04/2022,10:30:06:583,R,IXN22QKB50500,126,2,1.40788e+18,1,23,FH
15/04/2022,10:30:06:645,R,IXN22EKB51500,126,2,1.40788e+18,6,23,FH
15/04/2022,10:30:09:138,R,IXN24AJB66000,126,2,1.40788e+18,13,23,FH
15/04/2022,10:30:11:510,R,IXN22TJB32500,126,2,1.40788e+18,94,23,FH
15/04/2022,10:30:11:964,R,IXN22TJB38000,126,2,1.40788e+18,1,23,FH
15/04/2022,10:30:12:228,R,IXN22TJB40000,126,2,1.40788e+18,3,23,FH
15/04/2022,10:30:12:290,R,IXN22HJB42000,126,2,1.40788e+18,4,23,FH
15/04/2022,10:30:12:461,R,IXN22TJB23500,126,2,1.40788e+18,25,23,FH
15/04/2022,10:30:12:475,R,IXN22HJB30000,126,2,1.40788e+18,8,23,FH
15/04/2022,10:30:12:837,R,IXN22TJB39500,126,2,1.40788e+18,2,23,FH
15/04/2022,10:30:12:883,R,IXN22TJB34500,126,2,1.40788e+18,6,23,FH
15/04/2022,10:30:12:883,R,IXN22TJB41000,126,2,1.40788e+18,1,23,FH
15/04/2022,10:30:12:930,R,IXN22TJB36500,126,2,1.40788e+18,15,23,FH
15/04/2022,10:30:13:373,R,IXN22QKB16500,126,2,1.40788e+18,1,23,FH
15/04/2022,10:30:13:423,R,IXN22TJB25000,126,2,1.40788e+18,49,23,FH
15/04/2022,10:30:13:423,R,IXN22HJB30500,126,2,1.40788e+18,1,23,FH
15/04/2022,10:30:13:463,R,IXN22TJB29000,126,2,1.40788e+18,9,23,FH
15/04/2022,10:30:17:267,R,IXN22KIB32500,126,2,1.40788e+18,1,23,FH
15/04/2022,10:30:18:282,R,IXN22WIB33000,126,2,1.40788e+18,2,23,FH
15/04/2022,10:30:18:436,R,IXN22WIB37500,126,2,1.40788e+18,13,23,FH
15/04/2022,10:30:19:623,R,IXN22KIB42000,126,2,1.40788e+18,1,23,FH
15/04/2022,10:30:51:651,R,IXN23MKB33500,126,2,1.40788e+18,27,23,FH
15/04/2022,10:30:51:665,R,IXN23MKB37500,126,2,1.40788e+18,12,23,FH
15/04/2022,10:30:52:491,R,IXN23MKB18500,126,2,1.40788e+18,6,23,FH
15/04/2022,10:30:52:491,R,IXN23MKB23000,126,2,1.40788e+18,217,23,FH
15/04/2022,10:30:52:600,R,IXN23MKB15000,126,2,1.40788e+18,26,23,FH
15/04/2022,10:30:52:741,R,IXN23MKB26500,126,2,1.40788e+18,10,23,FH
15/04/2022,10:30:52:774,R,IXN22RHB44000,126,2,1.40788e+18,8,23,FH
15/04/2022,10:30:52:774,R,IXN22RHB33500,126,2,1.40788e+18,837,23,FH
15/04/2022,10:30:52:834,R,IXN22RHB35000,126,2,1.40788e+18,221,23,FH
15/04/2022,10:30:52:834,R,IXN22FHB29500,126,2,1.40788e+18,15,23,FH
15/04/2022,10:30:52:881,R,IXN22IGB31500,126,2,1.40788e+18,27,23,FH
15/04/2022,10:30:52:898,R,IXN22UGB37500,126,2,1.40788e+18,16,23,FH
15/04/2022,10:30:52:946,R,IXN22UGB31000,126,2,1.40788e+18,79,23,FH
15/04/2022,10:30:52:946,R,IXN22UGB36500,126,2,1.40788e+18,23,23,FH
15/04/2022,10:30:52:992,R,IXN22UGB42500,126,2,1.40788e+18,12,23,FH
15/04/2022,10:30:53:507,R,IXN23MKB32500,126,2,1.40788e+18,34,23,FH
15/04/2022,10:30:53:538,R,IXN23MKB19500,126,2,1.40788e+18,7,23,FH
15/04/2022,10:30:53:569,R,IXN23MKB31500,126,2,1.40788e+18,16,23,FH
15/04/2022,10:30:53:569,R,IXN23AKB27000,126,2,1.40788e+18,39,23,FH
15/04/2022,10:30:53:586,R,IXN23MKB41500,126,2,1.40788e+18,99,23,FH
15/04/2022,10:30:53:646,R,IXN23AKB30500,126,2,1.40788e+18,215,23,FH
15/04/2022,10:30:53:652,R,IXN23AKB56000,126,2,1.40788e+18,7,23,FH
