Date,Time,Message Type,Instrument code,Exchange Code,Security Type,Unknown,add modify delete,Root symbol,Expiration day,Expiration month,Expiration year,Strike price,Contract size,Contract name,Original exchange contract cod,Call or put,Source of Static,Exercise Type,Listing market for the exchange,Listed Currency,Country of listing,Exchange name,QS Symbol Suffix,
15/04/2022,00:00:08:285,S,IXN22EKB61500,126,2,1.41E+18,2,IXN,20,f5=5,2022,615,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,00:00:14:401,S,IXN22BIB63500,126,2,1.41E+18,2,IXN,18,f5=2,2022,635,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,00:00:16:637,S,IXN22EKB63500,126,2,1.41E+18,2,IXN,20,f5=5,2022,635,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,00:00:23:085,S,IXN22QKB61500,126,2,1.41E+18,2,IXN,20,f5=5,2022,615,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,00:00:31:035,S,IXN24AJB64500,126,2,1.41E+18,2,IXN,19,f5=1,2024,645,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,00:00:32:267,S,IXN22FHB64000,126,2,1.41E+18,2,IXN,17,f5=6,2022,640,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,00:00:32:778,S,IXN24AJB64000,126,2,1.41E+18,2,IXN,19,f5=1,2024,640,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,00:00:33:186,S,IXN23AKB64000,126,2,1.41E+18,2,IXN,20,f5=1,2023,640,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,00:00:33:266,S,IXN22QKB64500,126,2,1.41E+18,2,IXN,20,f5=5,2022,645,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,00:00:33:566,S,IXN22FHB64500,126,2,1.41E+18,2,IXN,17,f5=6,2022,645,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,00:00:34:034,S,IXN24AJB63500,126,2,1.41E+18,2,IXN,19,f5=1,2024,635,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,00:00:34:598,S,IXN22QKB64000,126,2,1.41E+18,2,IXN,20,f5=5,2022,640,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,00:00:35:152,S,IXN22BIB63000,126,2,1.41E+18,2,IXN,18,f5=2,2022,630,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,00:00:35:424,S,IXN22BIB64500,126,2,1.41E+18,2,IXN,18,f5=2,2022,645,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,00:00:35:458,S,IXN22QKB63500,126,2,1.41E+18,2,IXN,20,f5=5,2022,635,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,00:00:36:279,S,IXN22RHB64500,126,2,1.41E+18,2,IXN,17,f5=6,2022,645,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,00:00:36:533,S,IXN22BIB64000,126,2,1.41E+18,2,IXN,18,f5=2,2022,640,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,00:00:36:889,S,IXN22UGB64000,126,2,1.41E+18,2,IXN,16,f5=9,2022,640,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,00:00:37:266,S,IXN22IGB64500,126,2,1.41E+18,2,IXN,16,f5=9,2022,645,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,00:00:37:394,S,IXN23MKB64500,126,2,1.41E+18,2,IXN,20,f5=1,2023,645,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,00:00:38:471,S,IXN24MJB63500,126,2,1.41E+18,2,IXN,19,f5=1,2024,635,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,00:00:38:785,S,IXN22RHB64000,126,2,1.41E+18,2,IXN,17,f5=6,2022,640,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,00:00:39:228,S,IXN22NIB63500,126,2,1.41E+18,2,IXN,18,f5=2,2022,635,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,00:00:39:228,S,IXN23MKB64000,126,2,1.41E+18,2,IXN,20,f5=1,2023,640,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,00:00:39:359,S,IXN23AKB64500,126,2,1.41E+18,2,IXN,20,f5=1,2023,645,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,00:00:39:359,S,IXN22EKB64000,126,2,1.41E+18,2,IXN,20,f5=5,2022,640,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,00:00:39:602,S,IXN22EKB64500,126,2,1.41E+18,2,IXN,20,f5=5,2022,645,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,00:00:40:277,S,IXN22NIB63000,126,2,1.41E+18,2,IXN,18,f5=2,2022,630,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,00:00:40:277,S,IXN22NIB64500,126,2,1.41E+18,2,IXN,18,f5=2,2022,645,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,00:00:40:393,S,IXN22UGB64500,126,2,1.41E+18,2,IXN,16,f5=9,2022,645,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,00:00:40:721,S,IXN22NIB64000,126,2,1.41E+18,2,IXN,18,f5=2,2022,640,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,00:00:47:263,S,IXN24MJB64500,126,2,1.41E+18,2,IXN,19,f5=1,2024,645,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,00:00:49:531,S,IXN24MJB64000,126,2,1.41E+18,2,IXN,19,f5=1,2024,640,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,00:00:49:778,S,IXN22IGB64000,126,2,1.41E+18,2,IXN,16,f5=9,2022,640,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,00:01:15:360,S,IXN23AKB65000,126,2,1.41E+18,2,IXN,20,f5=1,2023,650,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,00:01:16:040,S,IXN22FHB65000,126,2,1.41E+18,2,IXN,17,f5=6,2022,650,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,00:01:16:785,S,IXN22IGB65000,126,2,1.41E+18,2,IXN,16,f5=9,2022,650,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,00:01:19:000,S,IXN24AJB65000,126,2,1.41E+18,2,IXN,19,f5=1,2024,650,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,00:01:21:236,S,IXN22RHB65000,126,2,1.41E+18,2,IXN,17,f5=6,2022,650,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,00:01:21:355,S,IXN24MJB65000,126,2,1.41E+18,2,IXN,19,f5=1,2024,650,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,00:01:22:464,S,IXN22UGB65000,126,2,1.41E+18,2,IXN,16,f5=9,2022,650,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,00:01:23:322,S,IXN23MKB65000,126,2,1.41E+18,2,IXN,20,f5=1,2023,650,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,00:02:35:036,S,IXN23AKB65500,126,2,1.41E+18,2,IXN,20,f5=1,2023,655,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,00:02:37:703,S,IXN23MKB65500,126,2,1.41E+18,2,IXN,20,f5=1,2023,655,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,00:02:38:026,S,IXN24MJB65500,126,2,1.41E+18,2,IXN,19,f5=1,2024,655,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,00:02:38:053,S,IXN22UGB65500,126,2,1.41E+18,2,IXN,16,f5=9,2022,655,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,00:02:38:173,S,IXN24AJB65500,126,2,1.41E+18,2,IXN,19,f5=1,2024,655,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,00:02:38:863,S,IXN22QKB65500,126,2,1.41E+18,2,IXN,20,f5=5,2022,655,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,00:02:38:932,S,IXN22QKB65000,126,2,1.41E+18,2,IXN,20,f5=5,2022,650,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,00:02:39:602,S,IXN22EKB65000,126,2,1.41E+18,2,IXN,20,f5=5,2022,650,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,00:02:40:091,S,IXN22EKB65500,126,2,1.41E+18,2,IXN,20,f5=5,2022,655,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,00:02:40:232,S,IXN22RHB65500,126,2,1.41E+18,2,IXN,17,f5=6,2022,655,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,00:02:40:854,S,IXN22FHB65500,126,2,1.41E+18,2,IXN,17,f5=6,2022,655,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,00:02:41:414,S,IXN22IGB65500,126,2,1.41E+18,2,IXN,16,f5=9,2022,655,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,00:03:30:908,S,IXN22UGB66000,126,2,1.41E+18,2,IXN,16,f5=9,2022,660,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,00:03:32:767,S,IXN22QKB66000,126,2,1.41E+18,2,IXN,20,f5=5,2022,660,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,00:03:33:221,S,IXN24AJB66500,126,2,1.41E+18,2,IXN,19,f5=1,2024,665,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,00:03:33:593,S,IXN23AKB66000,126,2,1.41E+18,2,IXN,20,f5=1,2023,660,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,00:03:34:468,S,IXN22RHB66500,126,2,1.41E+18,2,IXN,17,f5=6,2022,665,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,00:03:36:227,S,IXN22EKB66000,126,2,1.41E+18,2,IXN,20,f5=5,2022,660,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,00:03:36:999,S,IXN22FHB66500,126,2,1.41E+18,2,IXN,17,f5=6,2022,665,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,00:03:38:953,S,IXN23MKB66000,126,2,1.41E+18,2,IXN,20,f5=1,2023,660,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,00:03:40:456,S,IXN23MKB66500,126,2,1.41E+18,2,IXN,20,f5=1,2023,665,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,00:03:41:408,S,IXN22RHB66000,126,2,1.41E+18,2,IXN,17,f5=6,2022,660,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,00:03:41:830,S,IXN22QKB66500,126,2,1.41E+18,2,IXN,20,f5=5,2022,665,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,00:03:42:850,S,IXN24AJB66000,126,2,1.41E+18,2,IXN,19,f5=1,2024,660,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,00:03:46:224,S,IXN22EKB66500,126,2,1.41E+18,2,IXN,20,f5=5,2022,665,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,00:03:48:793,S,IXN22UGB66500,126,2,1.41E+18,2,IXN,16,f5=9,2022,665,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,00:03:48:926,S,IXN22IGB66000,126,2,1.41E+18,2,IXN,16,f5=9,2022,660,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,00:03:50:719,S,IXN22FHB66000,126,2,1.41E+18,2,IXN,17,f5=6,2022,660,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,00:03:50:786,S,IXN24MJB66500,126,2,1.41E+18,2,IXN,19,f5=1,2024,665,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,00:03:52:557,S,IXN22IGB66500,126,2,1.41E+18,2,IXN,16,f5=9,2022,665,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,00:03:52:670,S,IXN23AKB66500,126,2,1.41E+18,2,IXN,20,f5=1,2023,665,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,00:03:53:396,S,IXN24MJB66000,126,2,1.41E+18,2,IXN,19,f5=1,2024,660,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,00:19:28:758,S,IXN22HJB43000,126,2,1.41E+18,2,IXN,19,f5=8,2022,430,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,00:19:34:848,S,IXN22HJB41000,126,2,1.41E+18,2,IXN,19,f5=8,2022,410,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,00:19:39:204,S,IXN22HJB36000,126,2,1.41E+18,2,IXN,19,f5=8,2022,360,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,00:19:39:204,S,IXN22HJB45000,126,2,1.41E+18,2,IXN,19,f5=8,2022,450,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,00:19:42:563,S,IXN22TJB36500,126,2,1.41E+18,2,IXN,19,f5=8,2022,365,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,00:19:42:563,S,IXN22TJB41000,126,2,1.41E+18,2,IXN,19,f5=8,2022,410,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,00:20:06:662,S,IXN22HJB35500,126,2,1.41E+18,2,IXN,19,f5=8,2022,355,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,00:20:06:662,S,IXN22HJB40000,126,2,1.41E+18,2,IXN,19,f5=8,2022,400,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,00:21:52:739,S,IXN22HJB44000,126,2,1.41E+18,2,IXN,19,f5=8,2022,440,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,00:22:02:482,S,IXN22HJB37500,126,2,1.41E+18,2,IXN,19,f5=8,2022,375,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
