Date,Time,Message Type,Instrument code,Exchange Code,Security Type,Unknown,Last price,Last volume,Bit flag to updated,Trade indicator flag,Source of realtime message,RT of Last Trade in Seconds,Julian Date of last Trade,RT of last update in Seconds,Yesterdays close price,Open price,High price,Low pric,of trades since market opening,Cumulative volume,Calculated Turnover,VWAP price,Origination market of last trade for composite updates
15/04/2022,13:30:09:277,T,IXN22FHB34000,126,2,1.41e+18,6.6,7,23,I,FH,9:30:9.0,15-04-22,9:30:9.0,5,,,,,,46.2,6.6,3
15/04/2022,13:30:09:277,T,IXN22FHB34000,126,2,1.41e+18,6.6,7,23,I,FH,9:30:9.0,15-04-22,9:30:9.0,,,,,,,92.4,6.6,3
15/04/2022,13:33:41:714,T,IXN22QKB28000,126,2,1.41e+18,3.2,13,23,I,FH,9:33:41.0,15-04-22,9:33:41.0,1,,,,,,41.6,3.2,34
15/04/2022,13:51:06:061,T,IXN22FHB33500,126,2,1.41e+18,8,2,23,I,FH,9:51:6.0,15-04-22,9:51:6.0,,,,,,,16,8,3
15/04/2022,13:58:00:999,T,IXN22UGB30000,126,2,1.41e+18,19.5,10,23,I,FH,9:58:0.0,15-04-22,9:58:0.0,4,5,5,5,,,195,19.5,14
15/04/2022,13:58:00:999,T,IXN22UGB30000,126,2,1.41e+18,19.5,10,23,I,FH,9:58:0.0,15-04-22,9:58:0.0,,,,,,,390,19.5,14
15/04/2022,13:58:00:999,T,IXN22UGB30000,126,2,1.41e+18,19.5,10,23,I,FH,9:58:0.0,15-04-22,9:58:0.0,,,,,,,585,19.5,14
15/04/2022,13:58:00:999,T,IXN22UGB30000,126,2,1.41e+18,19.5,2,23,I,FH,9:58:0.0,15-04-22,9:58:0.0,,,,,,,624,19.5,19
15/04/2022,13:58:00:999,T,IXN22UGB30000,126,2,1.41e+18,19.5,8,23,I,FH,9:58:0.0,15-04-22,9:58:0.0,,,,,,,780,19.5,19
15/04/2022,13:58:01:421,T,IXN22UGB30000,126,2,1.41e+18,19.5,7,23,I,FH,9:58:1.0,15-04-22,9:58:1.0,,,,,,,916.5,19.5,14
15/04/2022,14:00:50:175,T,IXN22UGB30000,126,2,1.41e+18,19.5,10,23,I,FH,10:0:50.0,15-04-22,10:0:50.0,,,,,,,1111.5,19.5,14
15/04/2022,14:07:08:153,T,IXN22WIB30000,126,2,1.41e+18,22.4,1,23,I,FH,10:7:8.0,15-04-22,10:7:8.0,,4,4,4,,,22.4,22.4,14
15/04/2022,14:20:19:352,T,IXN22QKB32500,126,2,1.41e+18,20,1,23,I,FH,10:20:19.0,15-04-22,10:20:19.0,,,,,,,20,20,6
15/04/2022,14:20:21:983,T,IXN23MKB29500,126,2,1.41e+18,24.4,1,23,I,FH,10:20:21.0,15-04-22,10:20:21.0,2,4,4,4,,,24.4,24.4,19
15/04/2022,14:25:32:954,T,IXN22QKB30000,126,2,1.41e+18,8.8,1,23,I,FH,10:25:32.0,15-04-22,10:25:32.0,,,,,,,8.8,8.8,19
